"","Participant","CategoryStructure","Manipulation","Trials","System","NegativeZ"
"293",147,"RB","control",25,"Explicit",NA
"294",147,"II","control",45,"Explicit",NA
"295",148,"RB","task",NA,NA,1
"296",148,"II","task",55,"Explicit",NA
"297",149,"RB","control",8,"Explicit",NA
"298",149,"II","control",29,"Explicit",NA
"299",150,"RB","task",46,"Explicit",1
"300",150,"II","task",49,"Explicit",NA
"301",151,"RB","control",23,"Explicit",NA
"302",151,"II","control",30,"Explicit",NA
"303",152,"RB","task",74,"Explicit",1
"304",152,"II","task",21,"Explicit",NA
"305",153,"RB","control",8,"Explicit",NA
"306",153,"II","control",132,"Explicit",NA
"307",154,"RB","task",192,"Explicit",1
"308",154,"II","task",109,"Explicit",1
"309",155,"RB","control",8,"Explicit",NA
"310",155,"II","control",13,"Explicit",NA
"311",156,"RB","task",78,"Procedural",1
"312",156,"II","task",8,"Explicit",NA
"313",157,"RB","control",19,"Explicit",NA
"314",157,"II","control",157,"Explicit",1
"315",158,"RB","task",NA,NA,1
"316",158,"II","task",85,"Explicit",NA
"317",159,"RB","control",14,"Explicit",NA
"318",159,"II","control",117,"Explicit",NA
"319",160,"RB","task",19,"Explicit",NA
"320",160,"II","task",98,"Explicit",1
"321",161,"RB","control",8,"Explicit",NA
"322",161,"II","control",94,"Explicit",NA
"323",162,"RB","task",30,"Explicit",NA
"324",162,"II","task",NA,NA,1
"325",163,"RB","control",22,"Explicit",NA
"326",163,"II","control",93,"Explicit",NA
"327",164,"RB","task",155,"Procedural",1
"328",164,"II","task",164,"Procedural",1
"329",165,"RB","control",13,"Explicit",NA
"330",165,"II","control",8,"Explicit",NA
"331",166,"RB","task",105,"Explicit",1
"332",166,"II","task",64,"Explicit",NA
"333",167,"RB","control",8,"Explicit",NA
"334",167,"II","control",NA,NA,1
"335",168,"RB","task",19,"Explicit",NA
"336",168,"II","task",13,"Explicit",NA
"337",169,"RB","control",12,"Explicit",NA
"338",169,"II","control",85,"Explicit",NA
"339",170,"RB","task",80,"Explicit",1
"340",170,"II","task",17,"Explicit",NA
"341",171,"RB","control",9,"Explicit",NA
"342",171,"II","control",53,"Explicit",NA
"343",172,"RB","task",194,"Explicit",1
"344",172,"II","task",71,"Explicit",NA
"345",173,"RB","control",47,"Explicit",NA
"346",173,"II","control",53,"Explicit",NA
"347",174,"RB","task",13,"Explicit",NA
"348",174,"II","task",85,"Explicit",NA
"349",175,"RB","control",21,"Explicit",NA
"350",175,"II","control",NA,NA,1
"351",176,"RB","task",15,"Explicit",NA
"352",176,"II","task",15,"Explicit",NA
"353",177,"RB","control",45,"Explicit",NA
"354",177,"II","control",41,"Explicit",NA
"355",178,"RB","task",8,"Explicit",NA
"356",178,"II","task",41,"Explicit",NA
"357",179,"RB","control",24,"Explicit",NA
"358",179,"II","control",83,"Explicit",NA
"359",180,"RB","task",8,"Explicit",NA
"360",180,"II","task",47,"Explicit",1
"361",181,"RB","control",23,"Explicit",NA
"362",181,"II","control",8,"Explicit",NA
"363",182,"RB","task",90,"Explicit",1
"364",182,"II","task",12,"Explicit",NA
"365",183,"RB","control",31,"Explicit",NA
"366",183,"II","control",136,"Explicit",NA
"367",184,"RB","task",8,"Explicit",NA
"368",184,"II","task",163,"Explicit",1
"369",185,"RB","control",8,"Explicit",NA
"370",185,"II","control",75,"Explicit",NA
"371",186,"RB","task",8,"Explicit",NA
"372",186,"II","task",116,"Explicit",1
"373",187,"RB","control",22,"Explicit",NA
"374",187,"II","control",193,"Explicit",1
"375",188,"RB","task",53,"Procedural",1
"376",188,"II","task",18,"Explicit",NA
"377",189,"RB","control",17,"Explicit",NA
"378",189,"II","control",21,"Explicit",NA
"379",190,"RB","task",154,"Explicit",1
"380",190,"II","task",72,"Explicit",NA
"381",191,"RB","control",9,"Explicit",NA
"382",191,"II","control",80,"Explicit",NA
"383",192,"RB","task",8,"Explicit",NA
"384",192,"II","task",29,"Explicit",NA
"385",193,"RB","control",9,"Explicit",NA
"386",193,"II","control",32,"Explicit",NA
"387",194,"RB","task",8,"Explicit",NA
"388",194,"II","task",74,"Explicit",NA
