"subj","phase","block","trial","stim","resp","rt","pstimL","pstimR","outcome","date"
5,1,3,18,"CY",0,1.31318726949,"pear","strawberry","No Stomach Ache","2016_Oct_19_1457"
5,1,3,19,"BY",1,1.81285309134,"strawberry","banana","Stomach Ache","2016_Oct_19_1457"
5,1,3,20,"BY",1,1.28166349488,"banana","strawberry","Stomach Ache","2016_Oct_19_1457"
5,1,3,21,"A",1,1.93826645985,"apple","","Stomach Ache","2016_Oct_19_1457"
5,1,3,22,"AX",1,1.75040609873,"orange","apple","Stomach Ache","2016_Oct_19_1457"
5,1,3,23,"AX",1,1.59408848366,"apple","orange","Stomach Ache","2016_Oct_19_1457"
5,1,3,24,"A",1,2.34451697499,"","apple","Stomach Ache","2016_Oct_19_1457"
5,1,4,25,"CY",0,3.93813987961,"pear","strawberry","No Stomach Ache","2016_Oct_19_1457"
5,1,4,26,"A",1,2.03170011606,"apple","","Stomach Ache","2016_Oct_19_1457"
5,1,4,27,"AX",1,2.98606435192,"apple","orange","Stomach Ache","2016_Oct_19_1457"
5,1,4,28,"BY",1,2.25272450817,"strawberry","banana","Stomach Ache","2016_Oct_19_1457"
5,1,4,29,"BY",1,4.15716511197,"banana","strawberry","Stomach Ache","2016_Oct_19_1457"
5,1,4,30,"CY",0,2.81303472002,"strawberry","pear","No Stomach Ache","2016_Oct_19_1457"
5,1,4,31,"A",1,3.25051666214,"","apple","Stomach Ache","2016_Oct_19_1457"
5,1,4,32,"AX",1,3.84436318144,"orange","apple","Stomach Ache","2016_Oct_19_1457"
6,1,1,1,"CY",0,9.79806969513,"banana","orange","No Stomach Ache","2016_Oct_19_1507"
6,1,1,2,"A",0,3.69131667592,"pear","","Stomach Ache","2016_Oct_19_1507"
6,1,1,3,"A",1,4.33488578367,"","pear","Stomach Ache","2016_Oct_19_1507"
6,1,1,4,"AX",1,4.71001667937,"pear","apple","Stomach Ache","2016_Oct_19_1507"
6,1,1,5,"CY",0,2.95532675012,"orange","banana","No Stomach Ache","2016_Oct_19_1507"
6,1,1,6,"BY",0,4.79747940111,"strawberry","orange","Stomach Ache","2016_Oct_19_1507"
6,1,1,7,"AX",1,2.96900303452,"apple","pear","Stomach Ache","2016_Oct_19_1507"
6,1,1,8,"BY",1,2.40707643685,"orange","strawberry","Stomach Ache","2016_Oct_19_1507"
6,1,2,9,"CY",0,3.75060980977,"orange","banana","No Stomach Ache","2016_Oct_19_1507"
6,1,2,10,"BY",1,1.96920830011,"strawberry","orange","Stomach Ache","2016_Oct_19_1507"
